,Bleu,Vert,Rouge,Concavité,Élongation,Compacité,Label
0,32,50,43,0.0,0.6009925316120016,16.76749328155269,1
1,43,68,61,0.0,0.603211408342634,19.76780427474408,1
2,40,63,53,0.0,0.5232465429213441,20.792052558786093,1
3,2,1,1,0.0,0.7950042377818715,15.668675768132497,1
4,32,31,32,0.0,0.5336754208519345,23.403019032591278,1
5,21,31,32,0.0,0.7091799695106229,27.593099033714335,1
6,37,38,50,0.0,0.7080185988853718,15.140196959215313,1
7,52,220,255,0.0,0.18965865574525984,50.868780524874325,2
8,34,215,254,0.0,0.24124021611661992,37.29813729935748,2
9,44,224,238,0.0,0.21086178550237342,39.11146999222267,2
10,2,254,255,0.0,0.2541644088621062,34.70154755616595,2
11,60,170,210,0.0,0.22598894904641545,36.26823422205428,2
12,64,169,208,0.0,0.23387799944196427,34.94630632155787,2
13,8,255,231,0.0,0.18130726857228321,44.744363852673374,2
14,91,198,234,0.0,0.22113064852627842,41.14759353715807,2
15,37,195,235,0.0,0.2212973289119387,33.05205098523786,2
16,22,152,194,0.0,0.2549933231238163,34.621287099571504,2
17,3,179,255,0.0,0.713839752505524,15.387364902360195,3
18,40,207,244,0.0,0.6537728466338395,20.90781177024867,3
19,2,177,255,0.0,0.7728623065751853,15.294044758860249,3
20,255,255,255,0.0,0.6342598919428423,19.585392107121983,3
21,1,239,255,0.0,0.7190168226087416,16.84411702573968,3
22,32,212,255,0.0,0.6498606755183294,20.449433411895132,3
23,1,182,255,0.0,0.5483799576759338,30.05573503652871,3
24,1,255,255,0.0,0.5344824808680878,24.309043099876135,3
25,2,15,170,0.0,0.6014395272859963,25.87670409489703,4
26,1,6,255,0.0,0.5883493423461914,21.8777386185851,4
27,17,7,255,0.0,0.6184028250272157,21.73553358776244,4
28,3,3,255,0.0,0.5672384385744106,36.825458073681084,4
29,26,1,255,0.0,0.6864895731986234,22.122751226793458,4
30,24,2,164,0.0,0.5588038126627605,32.156522463853484,4
31,9,24,255,0.0,0.6527860617335839,23.117138511172467,4
32,5,4,255,0.0,0.4340917413884943,60.197880668166135,4
33,1,152,243,0.0,0.8139482127676765,18.1815979145761,5
34,2,181,255,0.0,0.6447642798562652,31.777149544713545,5
35,22,64,153,0.0,0.9269135419060203,14.220043641316725,5
36,3,124,255,0.0,0.8115273775629035,17.44467023334782,5
37,23,97,232,0.0,0.9291632516043526,14.500095991781436,5
38,1,103,255,0.0,0.62790212825853,35.06480204905915,5
39,2,180,255,0.0,0.902122067005855,17.258233749675988,5
40,23,97,232,0.0,0.9291632516043526,14.500095991781436,5
41,2,149,255,0.0,0.6466158231099447,20.50314159923198,5
42,1,132,255,0.0,0.7927487021998355,19.160905941847705,5
43,4,85,176,0.0,0.8663230895996094,14.29596989395803,5
44,22,129,255,0.0,0.7578106504498106,18.93090845259263,5
45,22,130,255,0.0,0.8626157972547743,15.112523102853611,5
46,4,20,141,0.0,0.7833161086178897,14.657892174250014,6
47,9,12,219,0.0,0.8833714076450893,15.615177335058126,6
48,32,56,247,0.0,0.8156778278756649,25.77828484028065,6
49,4,78,203,0.0,0.8503255429475204,16.291602561380344,6
50,1,49,164,0.0,0.6366678873697916,18.103375246323896,6
51,1,1,255,0.0,0.8140292127593225,19.76738103103928,6
52,3,31,255,0.0,0.8693809772359914,15.412492855779538,6
53,14,54,227,0.0,0.7568686710848354,26.746387217786395,6
54,11,70,240,0.0,0.8132205762361225,20.03705884107343,6
